epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,28185.7,1.08156,1.03235,0.01875,0.66196,0.58405,0.61384,0.45909,1.08035,0.82232,0.02367,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,28437,1.07395,1.01014,0.01865,0.66652,0.58499,0.61415,0.45816,1.08159,0.82152,0.02371,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,28691.3,1.07268,1.00652,0.01885,0.6789,0.5832,0.61445,0.45828,1.08161,0.8212,0.02373,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,28948.1,1.06898,1.00303,0.01872,0.68367,0.57971,0.61352,0.45775,1.08024,0.82528,0.02367,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,29212,1.067,1.01053,0.01867,0.69091,0.57404,0.61233,0.45697,1.08221,0.8231,0.02372,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,29464.8,1.05874,0.99367,0.01857,0.69359,0.57213,0.61269,0.45738,1.08216,0.82,0.02371,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,29721.9,1.07145,1.00832,0.01872,0.68561,0.56604,0.61106,0.45692,1.0819,0.81794,0.0237,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,29970.6,1.06556,0.9813,0.01852,0.69211,0.5646,0.61159,0.45655,1.08238,0.81558,0.02372,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,30222.3,1.06911,0.99965,0.01879,0.7008,0.56241,0.61116,0.45665,1.08096,0.81487,0.02368,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,30477.4,1.06379,1.00659,0.01855,0.69914,0.55948,0.61171,0.4569,1.08122,0.81383,0.02368,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,30731.1,1.05683,0.99734,0.01832,0.70343,0.56098,0.6131,0.45759,1.08086,0.81107,0.02367,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,30987.4,1.056,0.97949,0.0184,0.69872,0.56091,0.61136,0.4572,1.08011,0.8129,0.02365,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,31241.7,1.05102,0.95887,0.01827,0.70169,0.56128,0.61163,0.45754,1.07893,0.81119,0.02364,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
