epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,26191.6,1.1244,1.1071,0.0198,0.75177,0.52457,0.59661,0.43893,1.11177,0.78691,0.02445,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
104,26444.8,1.12058,1.10534,0.01985,0.74766,0.52126,0.59669,0.43834,1.11094,0.79072,0.02443,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913
105,26696.2,1.1187,1.11049,0.01983,0.74532,0.52874,0.5966,0.43937,1.1104,0.78998,0.02442,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
106,26952.8,1.11287,1.11391,0.01984,0.74247,0.53085,0.59911,0.4398,1.11138,0.78915,0.02447,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
107,27206.1,1.11313,1.10759,0.0195,0.74094,0.5302,0.59845,0.4387,1.11112,0.79223,0.02446,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
108,27459.8,1.10832,1.08936,0.01953,0.74531,0.52399,0.59863,0.43936,1.11088,0.7918,0.02447,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439
109,27710.9,1.10357,1.08398,0.01954,0.73419,0.53287,0.59796,0.43991,1.11178,0.78981,0.02449,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
110,27964.7,1.10752,1.08339,0.01967,0.73373,0.53292,0.59751,0.43912,1.11297,0.78633,0.02453,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059
111,28213,1.1098,1.09777,0.01969,0.73833,0.5357,0.59681,0.43935,1.11492,0.78356,0.02456,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
112,28462.3,1.10672,1.077,0.01963,0.72984,0.53615,0.59619,0.43783,1.11672,0.78387,0.02464,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
113,28715.3,1.1122,1.09434,0.01971,0.73138,0.53634,0.59581,0.43764,1.11622,0.78537,0.02461,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
114,28961.7,1.10911,1.05983,0.0195,0.73457,0.53386,0.60612,0.44437,1.11497,0.78656,0.02459,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031
